# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	819894	821765	+	AGJPKI_03845	sppA	signal peptide peptidase SppA	COG:COG0616, COG:O, SO:0001217, UniRef:UniRef50_A0A378W687, UniRef:UniRef90_A0A0T9X7R4
contig_1	cds	821770	822675	-	AGJPKI_03850	yktD	Putative S-adenosyl-L-methionine-dependent methyltransferase Mb0746c	COG:COG3315, COG:Q, EC:2.1.1.-, GO:0008168, GO:0032259, RefSeq:WP_003403687.1, SO:0001217, UniParc:UPI00000C14B7, UniRef:UniRef100_A5U0B1, UniRef:UniRef50_A5U0B1, UniRef:UniRef90_A5U0B1
contig_1	cds	822768	823871	-	AGJPKI_03855	yktD	Putative S-adenosyl-L-methionine-dependent methyltransferase Mb0747c	COG:COG3315, COG:Q, EC:2.1.1.-, GO:0008168, GO:0032259, RefSeq:WP_003403691.1, SO:0001217, UniParc:UPI00000D101C, UniRef:UniRef100_A5U0B2, UniRef:UniRef50_A5U0B2, UniRef:UniRef90_A5U0B2
contig_1	cds	824074	824730	-	AGJPKI_03860	araD	L-fuculose-phosphate aldolase	COG:COG0235, COG:EG, RefSeq:WP_003403695.1, SO:0001217, UniParc:UPI0000164FA9, UniRef:UniRef100_A0A1R3XWB0, UniRef:UniRef50_A0A2S8BSR4, UniRef:UniRef90_P95075
contig_1	cds	824727	825629	-	AGJPKI_03865	serA	D-3-phosphoglycerate dehydrogenase SerA	BlastRules:WP_003898565, COG:COG0111, COG:H, SO:0001217, UniParc:UPI0002D41660, UniRef:UniRef100_A0A0E7ZG38, UniRef:UniRef50_A0A0E8IXF0, UniRef:UniRef90_A0A0E8IXF0
contig_1	cds	825738	827084	+	AGJPKI_03870	xylB	Sugar (pentulose or hexulose) kinase	COG:COG1070, COG:G, RefSeq:WP_003900204.1, SO:0001217, UniParc:UPI00000D5EA6, UniRef:UniRef100_A0A045IQ82, UniRef:UniRef50_A0A051UHB8, UniRef:UniRef90_A0A1R3XW81
contig_1	cds	827097	827825	+	AGJPKI_03875		DNA topoisomerase (ATP-hydrolyzing)	RefSeq:WP_003403710.1, SO:0001217, UniParc:UPI00000D1139, UniRef:UniRef100_I3NI75, UniRef:UniRef50_A0A1X0LCD9, UniRef:UniRef90_I3NI75
contig_1	cds	827914	828870	-	AGJPKI_03880	yktD	Putative S-adenosyl-L-methionine-dependent methyltransferase Mb0752c	COG:COG3315, COG:Q, EC:2.1.1.-, GO:0008168, GO:0032259, RefSeq:WP_003403717.1, SO:0001217, UniParc:UPI00000D11CA, UniRef:UniRef100_A5U0B7, UniRef:UniRef50_A5U0B7, UniRef:UniRef90_A5U0B7
contig_1	cds	829031	830356	+	AGJPKI_03885	secY	preprotein translocase subunit SecY	COG:COG0201, COG:U, GO:0005048, GO:0005576, GO:0005886, GO:0006616, GO:0008320, GO:0031522, GO:0043952, RefSeq:WP_003403723.1, SO:0001217, UniParc:UPI00001357E8, UniRef:UniRef100_P0A5Z3, UniRef:UniRef50_O33006, UniRef:UniRef90_O33006
contig_1	cds	830353	830898	+	AGJPKI_03890	adk	adenylate kinase	COG:COG0563, COG:F, EC:2.7.4.3, GO:0004017, GO:0005524, GO:0005737, GO:0016310, GO:0044209, RefSeq:WP_003403726.1, SO:0001217, UniParc:UPI000012DBD2, UniRef:UniRef100_P69439, UniRef:UniRef50_B1VEX6, UniRef:UniRef90_P69439
contig_1	cds	830901	831701	+	AGJPKI_03895	map	type I methionyl aminopeptidase	COG:COG0024, COG:J, EC:3.4.11.18, GO:0005506, GO:0005829, GO:0005886, GO:0006555, GO:0016151, GO:0030145, GO:0035551, GO:0050897, GO:0070006, GO:0070084, RefSeq:WP_003403728.1, SO:0001217, UniParc:UPI00000D10DE, UniRef:UniRef100_P9WK20, UniRef:UniRef50_P9WK20, UniRef:UniRef90_P9WK20
contig_1	cds	831774	832307	+	AGJPKI_03900	sigL	sigma-70 family RNA polymerase sigma factor SigL	BlastRules:WP_003403731, COG:COG1595, COG:K, GO:0003677, GO:0006352, GO:0006355, GO:0016987, RefSeq:WP_003403731.1, SO:0001217, UniParc:UPI00000D10AF, UniRef:UniRef100_H8EXN1, UniRef:UniRef50_H8EXN1, UniRef:UniRef90_H8EXN1
contig_1	cds	832371	833123	+	AGJPKI_03905	rslA	anti-sigma-L factor RslA	BlastRules:WP_003403733, COG:COG5662, COG:K, GO:0005886, GO:0008270, GO:0016989, RefSeq:WP_003403733.1, SO:0001217, UniParc:UPI00000D1178, UniRef:UniRef100_H8EXN2, UniRef:UniRef50_H8EXN2, UniRef:UniRef90_H8EXN2
contig_1	cds	833366	833935	+	AGJPKI_03910	marR	DNA-binding transcriptional regulator, MarR family	COG:COG1846, COG:K, SO:0001217, UniParc:UPI0001C597A8, UniRef:UniRef100_A0A0E8UGT5, UniRef:UniRef50_I3NI76, UniRef:UniRef90_I3NI76
contig_1	cds	834305	834841	+	AGJPKI_03915		Uncharacterized protein Rv0738	GO:0046872, RefSeq:WP_003911273.1, SO:0001217, UniParc:UPI0001E61DDD, UniRef:UniRef100_P9WKS2, UniRef:UniRef50_P9WKS2, UniRef:UniRef90_P9WKS2
contig_1	cds	835089	835892	+	AGJPKI_03920		Uncharacterized protein Rv0739	GO:0005886, SO:0001217, UniParc:UPI00005EE43E, UniRef:UniRef100_A0A0E8U0Y6, UniRef:UniRef50_P9WKS0, UniRef:UniRef90_P9WKS0
contig_1	cds	835926	836534	+	AGJPKI_03925		Protein Rv0740	SO:0001217, UniParc:UPI00005EE43F, UniRef:UniRef100_O53803, UniRef:UniRef50_O53803, UniRef:UniRef90_O53803
contig_1	cds	836765	837079	+	AGJPKI_03930		Transposase	SO:0001217, UniParc:UPI0001277FD7, UniRef:UniRef100_A0A0H3L757, UniRef:UniRef50_A0A5F0EWH9, UniRef:UniRef90_A0A0H3L757
contig_1	cds	837221	837739	+	AGJPKI_03935	pE_PGRS8	PE-PGRS family protein PE_PGRS8	GO:0005576, GO:0009986, SO:0001217, UniParc:UPI00000D2BA1, UniRef:UniRef100_A0A1R3XYE7, UniRef:UniRef50_I6Y8K5, UniRef:UniRef90_I6Y8K5
contig_1	cds	838117	838674	-	AGJPKI_03940		DUF6036 domain-containing protein	RefSeq:WP_003403820.1, SO:0001217, UniParc:UPI00000D1179, UniRef:UniRef100_A0A1R3XXA2, UniRef:UniRef50_A0A1R3XXA2, UniRef:UniRef90_A0A1R3XXA2
contig_1	cds	838671	839177	-	AGJPKI_03945		Transcriptional regulator	RefSeq:WP_003403827.1, SO:0001217, UniParc:UPI0000165249, UniRef:UniRef100_A0A0K2KPG4, UniRef:UniRef50_A0A2V0MY91, UniRef:UniRef90_A0A0K2KPG4
contig_1	cds	839290	839436	-	AGJPKI_03950		3-hydroxyisobutyrate dehydrogenase	SO:0001217, UniParc:UPI00000D2BA3, UniRef:UniRef100_A0A045IR31, UniRef:UniRef50_A0A045IR31, UniRef:UniRef90_A0A045IR31
contig_1	cds	839932	842283	+	AGJPKI_03955		PE domain-containing protein	RefSeq:WP_012054159.1, SO:0001217, UniParc:UPI0000F51803, UniRef:UniRef100_A5U0D2, UniRef:UniRef50_A0A1X2EYY1, UniRef:UniRef90_A0A8D6AWZ5
contig_1	cds	842682	844907	+	AGJPKI_03960		PE family protein	RefSeq:WP_031728152.1, SO:0001217, UniParc:UPI0004597674, UniRef:UniRef100_UPI0004597674, UniRef:UniRef50_P9WIG0, UniRef:UniRef90_UPI0008A8827F
contig_1	cds	844992	845249	+	AGJPKI_03965	vapB31	Antitoxin VapB31	GO:0006355, GO:0045927, RefSeq:WP_003403834.1, SO:0001217, UniParc:UPI000016524A, UniRef:UniRef100_O53811, UniRef:UniRef50_O53811, UniRef:UniRef90_O53811
contig_1	cds	845273	845701	+	AGJPKI_03970	vapC31	Ribonuclease VapC31	COG:COG1848, COG:V, EC:3.1.-.-, GO:0000287, GO:0004540, GO:0045926, RefSeq:WP_003403837.1, SO:0001217, UniParc:UPI00000D114B, UniRef:UniRef100_P9WF74, UniRef:UniRef50_P9WF84, UniRef:UniRef90_P9WF74
contig_1	cds	845782	845919	-	AGJPKI_03975		Transposase	RefSeq:WP_003403839.1, SO:0001217, UniParc:UPI00000D2BA5, UniRef:UniRef100_A0A1R3XWA1, UniRef:UniRef50_A0A2I7W4H6, UniRef:UniRef90_A0A2I7W4H6
contig_1	cds	846054	846323	+	AGJPKI_03980		MR-MLE-C domain-containing protein	SO:0001217, UniParc:UPI00000CCB9A, UniRef:UniRef100_A0A0E9ANP4, UniRef:UniRef50_R4ME43, UniRef:UniRef90_R4ME43
contig_1	cds	846392	847276	-	AGJPKI_03985	mmsB	3-hydroxyisobutyrate dehydrogenase	COG:COG2084, COG:I, EC:1.1.1.31, GO:0006574, GO:0008442, GO:0016616, GO:0050661, GO:0051287, RefSeq:WP_003403844.1, SO:0001217, UniParc:UPI000012F295, UniRef:UniRef100_P63936, UniRef:UniRef50_P63936, UniRef:UniRef90_P63936
contig_1	cds	847287	848459	-	AGJPKI_03990	caiA	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	COG:COG1960, COG:I, RefSeq:WP_003403845.1, SO:0001217, UniParc:UPI00000D0FFB, UniRef:UniRef100_A0A045HTT2, UniRef:UniRef50_A0A378W5R4, UniRef:UniRef90_A0A045HTT2
contig_1	cds	848466	849998	-	AGJPKI_03995	mmsA	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	COG:COG1012, COG:I, RefSeq:WP_003403847.1, SO:0001217, UniParc:UPI00000D4FCB, UniRef:UniRef100_A0A045J9H4, UniRef:UniRef50_Q9I702, UniRef:UniRef90_Q7D9C1
contig_1	cds	850204	851958	+	AGJPKI_04000	pE_PGRS11	phosphoglycerate mutase PE_PGRS11	BlastRules:WP_003403850, COG:COG0406, COG:G, EC:5.4.2.12, GO:0000287, GO:0001666, GO:0004619, GO:0005576, GO:0005737, GO:0006096, GO:0009274, GO:0009986, GO:0016791, RefSeq:WP_003403850.1, SO:0001217, UniParc:UPI00000D4FCC, UniRef:UniRef100_Q79FW5, UniRef:UniRef50_Q79FW5, UniRef:UniRef90_Q79FW5
contig_1	cds	852148	854085	-	AGJPKI_04005	pPE12	Uncharacterized PPE family protein PPE12	COG:COG5651, COG:S, GO:0052572, RefSeq:WP_003898574.1, SO:0001217, UniParc:UPI000016524C, UniRef:UniRef100_P9WI36, UniRef:UniRef50_P9WI36, UniRef:UniRef90_P9WI36
contig_1	cds	854387	854557	-	AGJPKI_04010		Transposase	SO:0001217, UniParc:UPI0001FB6BAE, UniRef:UniRef100_A0A0E8UAW5, UniRef:UniRef50_A0A7I7KIX1, UniRef:UniRef90_A0A0E8UAW5
contig_1	tRNA	854687	854758	-	AGJPKI_04015	trnT	tRNA-Thr(tgt)	SO:0000270
contig_1	cds	854786	855511	-	AGJPKI_04020		ABC transporter	RefSeq:WP_003403862.1, SO:0001217, UniParc:UPI00000D46FB, UniRef:UniRef100_A0A1R3XWB4, UniRef:UniRef50_A0A1A3Q2R3, UniRef:UniRef90_G0TEY3
contig_1	cds	855725	856396	+	AGJPKI_04025	phoP	two-component system response regulator PhoP	BlastRules:WP_001065226, BlastRules:WP_003229442, BlastRules:WP_003403867, COG:COG0745, COG:TK, SO:0001217, UniParc:UPI0002178748, UniRef:UniRef100_A0A0E8U0V8, UniRef:UniRef50_A0A0D8HJ94, UniRef:UniRef90_A0A0E8U0V8
contig_1	cds	856441	857898	+	AGJPKI_04030	phoR	sensory box histidine kinase PhoR	BlastRules:WP_001032128, BlastRules:WP_003916717, BlastRules:WP_004398493, COG:COG5002, COG:T, EC:2.7.13.3, RefSeq:WP_003898576.1, SO:0001217, UniParc:UPI0000164FAF, UniRef:UniRef100_A0A045JAU5, UniRef:UniRef50_A0A2G5P4T1, UniRef:UniRef90_A0A045JAU5
contig_1	cds	857870	858271	-	AGJPKI_04035		Uncharacterized HIT-like protein Rv0759c	GO:0005737, GO:0016787, RefSeq:WP_003403876.1, SO:0001217, UniParc:UPI000013B262, UniRef:UniRef100_P0A5B6, UniRef:UniRef50_P0A5B6, UniRef:UniRef90_P0A5B6
contig_1	cds	858311	858730	-	AGJPKI_04040		NTF2 domain-containing protein	RefSeq:WP_003403880.1, SO:0001217, UniParc:UPI00000D1220, UniRef:UniRef100_A0A1R3XYG6, UniRef:UniRef50_A0A447GJS4, UniRef:UniRef90_G0TEY7
contig_1	cds	858743	859870	-	AGJPKI_04045	adhB	Alcohol dehydrogenase B	COG:C, COG:COG1062, EC:1.1.1.1, GO:0004024, GO:0005829, GO:0005886, GO:0008270, GO:0046294, GO:0051903, RefSeq:WP_003403885.1, SO:0001217, UniParc:UPI00000D504A, UniRef:UniRef100_Q7U1B9, UniRef:UniRef50_Q7U1B9, UniRef:UniRef90_Q7U1B9
contig_1	cds	859969	860514	-	AGJPKI_04050		Nuclear transport factor 2 family protein	RefSeq:WP_003403887.1, SO:0001217, UniParc:UPI00000D11FA, UniRef:UniRef100_A0A1R3XWE9, UniRef:UniRef50_A0A1I6RFN7, UniRef:UniRef90_G0TEY9
contig_1	cds	860517	860723	-	AGJPKI_04055	fdx	Ferredoxin Fdx	COG:C, COG:COG1141, RefSeq:WP_003403890.1, SO:0001217, UniParc:UPI000016524E, UniRef:UniRef100_P71820, UniRef:UniRef50_P71820, UniRef:UniRef90_P71820
contig_1	cds	860726	862081	-	AGJPKI_04060	cyp51	lanosterol 14-alpha demethylase	BlastRules:WP_003898577, COG:COG2124, COG:QV, EC:1.14.15.36, GO:0005506, GO:0005829, GO:0008398, GO:0016125, GO:0016126, GO:0016491, GO:0020037, RefSeq:WP_003898577.1, SO:0001217, UniParc:UPI00001281EB, UniRef:UniRef100_P0A513, UniRef:UniRef50_Q5IZM4, UniRef:UniRef90_P0A513
contig_1	cds	862081	862908	-	AGJPKI_04065	ydfG	SDR family oxidoreductase	COG:C, COG:COG4221, RefSeq:WP_003898578.1, SO:0001217, UniParc:UPI00000D1239, UniRef:UniRef100_A0A045HW75, UniRef:UniRef50_A0A8B4DXD3, UniRef:UniRef90_A0A045HW75
contig_1	cds	862908	864116	-	AGJPKI_04070	cyp123	Putative cytochrome P450 123	COG:COG2124, COG:QV, EC:1.14.-.-, GO:0005506, GO:0005886, GO:0006707, GO:0008395, GO:0020037, GO:0036199, RefSeq:WP_003403911.1, SO:0001217, UniParc:UPI0000126BAB, UniRef:UniRef100_P63708, UniRef:UniRef50_P63708, UniRef:UniRef90_P63708
contig_1	cds	864113	864754	-	AGJPKI_04075	acrR	Uncharacterized HTH-type transcriptional regulator Rv0767c	COG:COG1309, COG:K, GO:0000976, GO:0003700, GO:0006355, RefSeq:WP_003403915.1, SO:0001217, UniParc:UPI0000139C9C, UniRef:UniRef100_P9WMD6, UniRef:UniRef50_P9WMD6, UniRef:UniRef90_P9WMD6
contig_1	cds	864956	866425	+	AGJPKI_04080	adhE	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	COG:COG1012, COG:I, RefSeq:WP_003403919.1, SO:0001217, UniParc:UPI00000D11FE, UniRef:UniRef100_A0A0E7YZG7, UniRef:UniRef50_A0A378URH1, UniRef:UniRef90_A0A0E7YZG7
contig_1	cds	866456	867202	+	AGJPKI_04085		SDR family oxidoreductase	EC:1.-.-.-, GO:0005886, GO:0016616, GO:0030497, RefSeq:WP_003898579.1, SO:0001217, UniParc:UPI00000D11FF, UniRef:UniRef100_P9WGQ8, UniRef:UniRef50_P9WGQ8, UniRef:UniRef90_P9WGQ8
contig_1	cds	867300	868187	+	AGJPKI_04090	mmsB	Uncharacterized oxidoreductase Rv0770	COG:COG2084, COG:I, EC:1.1.-.-, GO:0016054, GO:0016616, GO:0050661, GO:0051287, RefSeq:WP_003403924.1, SO:0001217, UniParc:UPI0000139CA1, UniRef:UniRef100_P9WNY2, UniRef:UniRef50_P9WNY2, UniRef:UniRef90_P9WNY2
contig_1	cds	868187	868618	+	AGJPKI_04095	yurZ	Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family	COG:COG0599, COG:R, RefSeq:WP_003918128.1, SO:0001217, UniParc:UPI00005EE445, UniRef:UniRef100_A0A1R3XXC9, UniRef:UniRef50_J4JVM0, UniRef:UniRef90_A0A654ZGU4
contig_1	cds	868630	869898	+	AGJPKI_04100	purD	Phosphoribosylamine--glycine ligase	COG:COG0151, COG:F, EC:6.3.4.13, GO:0004637, GO:0005524, GO:0006189, GO:0009113, GO:0046872, RefSeq:WP_003898580.1, SO:0001217, UniParc:UPI0000132A33, UniRef:UniRef100_P65894, UniRef:UniRef50_P65894, UniRef:UniRef90_P65894
contig_1	cds	869895	871478	-	AGJPKI_04105	ggtA	gamma-glutamyltranspeptidase GgtA	BlastRules:WP_003918129, COG:COG0405, COG:E, RefSeq:WP_015456167.1, SO:0001217, UniParc:UPI000252D234, UniRef:UniRef100_A0A0H3L6P7, UniRef:UniRef50_A0A7C5R1P5, UniRef:UniRef90_A0A0H3L6P7
contig_1	cds	871484	872185	-	AGJPKI_04110	frmB	S-formylglutathione hydrolase FrmB	COG:COG0627, COG:V, RefSeq:WP_003903167.1, SO:0001217, UniParc:UPI00019017DB, UniRef:UniRef100_A0A4Q1N692, UniRef:UniRef50_A0A1Q4I0K5, UniRef:UniRef90_A0A4Q1N692
contig_1	cds	872502	873074	+	AGJPKI_04115	ybjK	DNA-binding transcriptional regulator YbjK	COG:COG3226, COG:K, SO:0001217, UniParc:UPI00005EE446, UniRef:UniRef100_A0A0H3L7C9, UniRef:UniRef50_A0A7I7JPZ6, UniRef:UniRef90_G0TF02
contig_1	cds	873028	873807	-	AGJPKI_04120		putative nuclease (RNAse H fold)	COG:COG4328, COG:R, RefSeq:WP_003403949.1, SO:0001217, UniParc:UPI00000D1208, UniRef:UniRef100_A0A1R3XWD9, UniRef:UniRef50_L0J5H0, UniRef:UniRef90_G0TF03
contig_1	cds	874052	875470	+	AGJPKI_04125	purB	adenylosuccinate lyase	COG:COG0015, COG:F, RefSeq:WP_003898583.1, SO:0001217, UniParc:UPI00000D122A, UniRef:UniRef100_A0A045IPW7, UniRef:UniRef50_O05745, UniRef:UniRef90_G0TF04
contig_1	cds	875475	876719	+	AGJPKI_04130	cyp126	Putative cytochrome P450 126	COG:COG2124, COG:QV, EC:1.14.-.-, GO:0005506, GO:0006707, GO:0008395, GO:0020037, GO:0036199, RefSeq:WP_003898584.1, SO:0001217, UniParc:UPI0000126BAE, UniRef:UniRef100_P63712, UniRef:UniRef50_P63712, UniRef:UniRef90_P63712
contig_1	cds	876716	877336	-	AGJPKI_04135		Transmembrane protein	RefSeq:WP_003403957.1, SO:0001217, UniParc:UPI00000CCC1F, UniRef:UniRef100_Q7D9A4, UniRef:UniRef50_I4BPJ9, UniRef:UniRef90_Q7D9A4
contig_1	cds	877387	878280	+	AGJPKI_04140	purC	phosphoribosylaminoimidazolesuccinocarboxamide synthase	COG:COG0152, COG:F, EC:6.3.2.6, GO:0004639, GO:0005524, GO:0006164, GO:0006189, RefSeq:WP_003403962.1, SO:0001217, UniParc:UPI0000132A9D, UniRef:UniRef100_P0A5T5, UniRef:UniRef50_B1MHW4, UniRef:UniRef90_P0A5T5
contig_1	cds	878277	880436	+	AGJPKI_04145		Oligopeptidase B	EC:3.4.21.83, KEGG:K01354, RefSeq:WP_003898586.1, SO:0001217, UniParc:UPI00001A8F2C, UniRef:UniRef100_A0A045J2Z8, UniRef:UniRef50_A0A7J5X4E7, UniRef:UniRef90_A0A045J2Z8
contig_1	cds	880388	880549	-	AGJPKI_04150	doxX	DoxX family protein	SO:0001217, UniParc:UPI000252D235, UniRef:UniRef100_A0A0E9AJF9, UniRef:UniRef50_A0A0E9AJF9, UniRef:UniRef90_A0A0E9AJF9
contig_1	cds	880864	882486	-	AGJPKI_04155	emrB	Multidrug resistance B-like protein	COG:COG2814, COG:G, GO:0005576, GO:0005886, GO:0022857, GO:0055085, RefSeq:WP_003403977.1, SO:0001217, UniParc:UPI00000CA925, UniRef:UniRef100_P9WG89, UniRef:UniRef50_P9WG89, UniRef:UniRef90_P9WG89
contig_1	cds	882684	883370	+	AGJPKI_04160		putative deacetylase	COG:COG3233, COG:R, KEGG:K06986, RefSeq:WP_003898589.1, SO:0001217, UniParc:UPI00000CCC20, UniRef:UniRef100_A0A1R3XWT5, UniRef:UniRef50_F5Z1C1, UniRef:UniRef90_R4MFM8
contig_1	cds	883386	885086	+	AGJPKI_04165		FAD-binding dehydrogenase	COG:COG3573, COG:R, EC:1.3.99.-, GO:0005886, GO:0006694, GO:0016042, GO:0033765, RefSeq:WP_003898590.1, SO:0001217, UniParc:UPI0000164FB6, UniRef:UniRef100_Q7D9A2, UniRef:UniRef50_A0R4H4, UniRef:UniRef90_P71838
contig_1	cds	885121	885759	-	AGJPKI_04170	ulaG	Protein Rv0786c	COG:COG2220, COG:G, RefSeq:WP_003403989.1, SO:0001217, UniParc:UPI0000164FB7, UniRef:UniRef100_P71839, UniRef:UniRef50_P71839, UniRef:UniRef90_P71839
contig_1	cds	885793	886464	+	AGJPKI_04175		Metallo-beta-lactamase superfamily protein,putative	SO:0001217, UniParc:UPI0004E61638, UniRef:UniRef100_A0A1R3XWF9, UniRef:UniRef50_R4M3Q1, UniRef:UniRef90_A5U0H5
contig_1	cds	886570	886809	+	AGJPKI_04180	purS	phosphoribosylformylglycinamidine synthase subunit PurS	COG:COG1828, COG:F, RefSeq:WP_003403993.1, SO:0001217, UniParc:UPI00000D2BAC, UniRef:UniRef100_A0A1R3XWG2, UniRef:UniRef50_C4LH50, UniRef:UniRef90_J4JVM4
contig_1	cds	886806	887480	+	AGJPKI_04185	purQ	phosphoribosylformylglycinamidine synthase subunit PurQ	COG:COG0047, COG:F, EC:6.3.5.3, GO:0004359, GO:0004642, GO:0005524, GO:0005737, GO:0005886, GO:0006189, GO:0006541, RefSeq:WP_003403995.1, SO:0001217, UniParc:UPI0000132B5E, UniRef:UniRef100_P65903, UniRef:UniRef50_Q6ACD4, UniRef:UniRef90_Q743F9
contig_1	cds	887497	887970	-	AGJPKI_04190	ybjN	YbjN domain-containing protein	RefSeq:WP_014584683.1, SO:0001217, UniParc:UPI00005EE44A, UniRef:UniRef100_A0A1R3XYJ2, UniRef:UniRef50_G0TF16, UniRef:UniRef90_G0TF16
contig_1	cds	888118	888846	-	AGJPKI_04195		TGc domain-containing protein	RefSeq:WP_003404002.1, SO:0001217, UniParc:UPI00000D1224, UniRef:UniRef100_A0A045HW96, UniRef:UniRef50_U5WP82, UniRef:UniRef90_G0TF17
contig_1	cds	888843	889886	-	AGJPKI_04200	ssuD	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	COG:COG2141, COG:HR, RefSeq:WP_003404004.1, SO:0001217, UniParc:UPI00000D11F2, UniRef:UniRef100_A0A1R3XWI0, UniRef:UniRef50_A0A1X0L9Y8, UniRef:UniRef90_G0TF18
contig_1	cds	889883	890692	-	AGJPKI_04205	mngR	DNA-binding transcriptional regulator, GntR family	COG:COG2188, COG:K, RefSeq:WP_003404007.1, SO:0001217, UniParc:UPI00000C1597, UniRef:UniRef100_A0A045IPX8, UniRef:UniRef50_A0A051TS37, UniRef:UniRef90_A0A045IPX8
contig_1	cds	890765	891070	+	AGJPKI_04210	ygiN	Putative monooxygenase Rv0793	COG:C, COG:COG1359, EC:1.-.-.-, GO:0003824, GO:0004497, RefSeq:WP_003404010.1, SO:0001217, UniParc:UPI00000C1598, UniRef:UniRef100_O86332, UniRef:UniRef50_O86332, UniRef:UniRef90_O86332
contig_1	cds	891183	892682	-	AGJPKI_04215	lpd	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase	COG:C, COG:COG1249, RefSeq:WP_003404013.1, SO:0001217, UniParc:UPI00000D42A4, UniRef:UniRef100_A0A7U9PJJ0, UniRef:UniRef50_A0A510CXY4, UniRef:UniRef90_A0A655D356
contig_1	cds	892878	893762	-	AGJPKI_04220	tnp	IS3 family transposase ORF B	GO:0003677, GO:0005886, GO:0006310, GO:0015074, GO:0032196, RefSeq:WP_003899492.1, SO:0001217, UniParc:UPI0000165142, UniRef:UniRef100_A0A109T0H1, UniRef:UniRef50_P9WKH8, UniRef:UniRef90_P9WKH8
contig_1	cds	893813	894139	-	AGJPKI_04225	tnp	IS3 family IS987 transposase ORF A	GO:0003677, GO:0004803, GO:0005886, GO:0006313, IS:IS987, RefSeq:WP_003899493.1, SO:0001217, UniParc:UPI000013B35E, UniRef:UniRef100_P59801, UniRef:UniRef50_P59801, UniRef:UniRef90_P59801
contig_1	cds	894227	894592	+	AGJPKI_04230		Uncharacterized conserved protein	SO:0001217, UniParc:UPI000252D238, UniRef:UniRef100_A0A0H3L7F1, UniRef:UniRef50_A0A7I7N4R0, UniRef:UniRef90_A0A0H3L7F1
contig_1	cds	894582	895379	-	AGJPKI_04235	enc	family 1 encapsulin nanocompartment shell protein	COG:COG1659, COG:V, GO:0005576, GO:0005886, GO:0140737, RefSeq:WP_003404092.1, SO:0001217, UniParc:UPI00000D5E0F, UniRef:UniRef100_I6WZG6, UniRef:UniRef50_I6WZG6, UniRef:UniRef90_I6WZG6
contig_1	cds	895376	896383	-	AGJPKI_04240	dyp	Dye-decolorizing peroxidase	COG:COG2837, COG:P, EC:1.11.1.7, GO:0004601, GO:0005829, GO:0020037, GO:0046872, GO:0140737, KEGG:K07223, RefSeq:WP_003404098.1, SO:0001217, UniParc:UPI00000D0F7F, UniRef:UniRef100_I6Y4U9, UniRef:UniRef50_I6Y4U9, UniRef:UniRef90_I6Y4U9
contig_1	cds	896428	897729	+	AGJPKI_04245	apeB	M18 family aminopeptidase	COG:COG1362, COG:E, EC:3.4.11.-, GO:0004177, GO:0005829, GO:0005886, GO:0006508, GO:0008237, GO:0008270, RefSeq:WP_003404103.1, SO:0001217, UniParc:UPI0000164FB8, UniRef:UniRef100_P59951, UniRef:UniRef50_Q50022, UniRef:UniRef90_P59951
contig_1	cds	897741	898088	+	AGJPKI_04250		VOC domain-containing protein	RefSeq:WP_003898592.1, SO:0001217, UniParc:UPI0000033282, UniRef:UniRef100_A0A1R3XXF9, UniRef:UniRef50_I4BPI5, UniRef:UniRef90_G0TF25
contig_1	cds	898082	898738	-	AGJPKI_04255	rimL	Putative succinyl-CoA transferase Rv0802c	COG:COG1670, COG:JO, EC:2.8.3.-, GO:0005737, GO:0006104, GO:0008999, GO:0017198, GO:1990189, RefSeq:WP_003404111.1, SO:0001217, UniParc:UPI00000D10A1, UniRef:UniRef100_P9WQG6, UniRef:UniRef50_P9WQG6, UniRef:UniRef90_P9WQG6
contig_1	cds	898894	901194	+	AGJPKI_04260	purL	phosphoribosylformylglycinamidine synthase subunit PurL	COG:COG0046, COG:F, EC:6.3.5.3, GO:0000287, GO:0004642, GO:0005524, GO:0005737, GO:0006189, SO:0001217, UniParc:UPI00005F6164, UniRef:UniRef100_P9WHL6, UniRef:UniRef50_Q743F0, UniRef:UniRef90_P9WHL6
contig_1	cds	901191	901820	+	AGJPKI_04265	ydiL	Membrane protease YdiL, CAAX protease family	COG:COG1266, COG:O, RefSeq:WP_003404117.1, SO:0001217, UniParc:UPI00000D107C, UniRef:UniRef100_A0A1R3XWG8, UniRef:UniRef50_A0A318HQJ8, UniRef:UniRef90_G0TF27
